"","GMIS.Region","GMIS.Division","Position","Total.Filled","Total.Unfilled","Total.Authorized","Filling.Up.Rate"
"1","Cordillera Administrative Region (CAR)","CO/RO/SDO","Accountant I",3,0,3,100
"2","Cordillera Administrative Region (CAR)","CO/RO/SDO","Accountant II",2,1,3,66.67
"3","Cordillera Administrative Region (CAR)","CO/RO/SDO","Accountant III",1,0,1,100
"4","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide I",10,0,10,100
"5","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide II",3,0,3,100
"6","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide III",4,1,5,80
"7","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide IV",4,0,4,100
"8","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide V",1,0,1,100
"9","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide VI",12,0,12,100
"10","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant I",10,0,10,100
"11","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant II",7,2,9,77.78
"12","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant III",5,1,6,83.33
"13","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant V",1,0,1,100
"14","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer I",2,0,2,100
"15","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer II",8,0,8,100
"16","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer III",2,0,2,100
"17","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer IV",10,0,10,100
"18","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer V",9,0,9,100
"19","Cordillera Administrative Region (CAR)","CO/RO/SDO","Assistant Teacher's Camp Superintendent",1,0,1,100
"20","Cordillera Administrative Region (CAR)","CO/RO/SDO","Attorney III",1,0,1,100
"21","Cordillera Administrative Region (CAR)","CO/RO/SDO","Attorney IV",1,0,1,100
"22","Cordillera Administrative Region (CAR)","CO/RO/SDO","Chief Administrative Officer",2,0,2,100
"23","Cordillera Administrative Region (CAR)","CO/RO/SDO","Chief Education Supervisor",6,0,6,100
"24","Cordillera Administrative Region (CAR)","CO/RO/SDO","Computer Maintenance Technologist I",1,0,1,100
"25","Cordillera Administrative Region (CAR)","CO/RO/SDO","Computer Programmer II",1,0,1,100
"26","Cordillera Administrative Region (CAR)","CO/RO/SDO","Dentist III",1,0,1,100
"27","Cordillera Administrative Region (CAR)","CO/RO/SDO","Director III",1,0,1,100
"28","Cordillera Administrative Region (CAR)","CO/RO/SDO","Director IV",1,0,1,100
"29","Cordillera Administrative Region (CAR)","CO/RO/SDO","Dormitory Manager II",1,0,1,100
"30","Cordillera Administrative Region (CAR)","CO/RO/SDO","Draftsman II",1,0,1,100
"31","Cordillera Administrative Region (CAR)","CO/RO/SDO","Education Program Specialist II",4,0,4,100
"32","Cordillera Administrative Region (CAR)","CO/RO/SDO","Education Program Supervisor",21,0,21,100
"33","Cordillera Administrative Region (CAR)","CO/RO/SDO","Engineer III",1,0,1,100
"34","Cordillera Administrative Region (CAR)","CO/RO/SDO","Guesthouse Caretaker",18,0,18,100
"35","Cordillera Administrative Region (CAR)","CO/RO/SDO","Information Technology Officer I",1,0,1,100
"36","Cordillera Administrative Region (CAR)","CO/RO/SDO","Legal Assistant II",1,0,1,100
"37","Cordillera Administrative Region (CAR)","CO/RO/SDO","Librarian II",1,0,1,100
"38","Cordillera Administrative Region (CAR)","CO/RO/SDO","Medical Officer IV",1,0,1,100
"39","Cordillera Administrative Region (CAR)","CO/RO/SDO","Nutritionist-Dietitian II",1,0,1,100
"40","Cordillera Administrative Region (CAR)","CO/RO/SDO","Planning Officer III",1,0,1,100
"41","Cordillera Administrative Region (CAR)","CO/RO/SDO","Project Development Officer II",3,0,3,100
"42","Cordillera Administrative Region (CAR)","CO/RO/SDO","Project Development Officer IV",1,0,1,100
"43","Cordillera Administrative Region (CAR)","CO/RO/SDO","Security Guard I",1,0,1,100
"44","Cordillera Administrative Region (CAR)","CO/RO/SDO","Senior Education Program Specialist",1,1,2,50
"45","Cordillera Administrative Region (CAR)","CO/RO/SDO","Special Investigator III",1,0,1,100
"46","Cordillera Administrative Region (CAR)","CO/RO/SDO","Statistician I",1,0,1,100
"47","Cordillera Administrative Region (CAR)","CO/RO/SDO","Supervising Administrative Officer ",2,0,2,100
"48","Cordillera Administrative Region (CAR)","CO/RO/SDO","Teacher Credentials Evaluator II",1,0,1,100
"49","Cordillera Administrative Region (CAR)","CO/RO/SDO","Teachers' Camp Superintendent",1,0,1,100
"50","Cordillera Administrative Region (CAR)","Abra","Accountant III",1,0,1,100
"51","Cordillera Administrative Region (CAR)","Abra","Administrative Aide I",38,0,38,100
"52","Cordillera Administrative Region (CAR)","Abra","Administrative Aide II",1,0,1,100
"53","Cordillera Administrative Region (CAR)","Abra","Administrative Aide III",8,0,8,100
"54","Cordillera Administrative Region (CAR)","Abra","Administrative Aide IV",6,0,6,100
"55","Cordillera Administrative Region (CAR)","Abra","Administrative Aide VI",8,0,8,100
"56","Cordillera Administrative Region (CAR)","Abra","Administrative Assistant I",1,0,1,100
"57","Cordillera Administrative Region (CAR)","Abra","Administrative Assistant II",66,10,76,86.84
"58","Cordillera Administrative Region (CAR)","Abra","Administrative Assistant III",54,21,75,72
"59","Cordillera Administrative Region (CAR)","Abra","Administrative Officer I",10,0,10,100
"60","Cordillera Administrative Region (CAR)","Abra","Administrative Officer II",236,6,242,97.52
"61","Cordillera Administrative Region (CAR)","Abra","Administrative Officer III",2,1,3,66.67
"62","Cordillera Administrative Region (CAR)","Abra","Administrative Officer IV",7,0,7,100
"63","Cordillera Administrative Region (CAR)","Abra","Administrative Officer V",2,0,2,100
"64","Cordillera Administrative Region (CAR)","Abra","Agriculturist I",2,4,6,33.33
"65","Cordillera Administrative Region (CAR)","Abra","Assistant Schools Division Superintendent",1,0,1,100
"66","Cordillera Administrative Region (CAR)","Abra","Attorney III",1,0,1,100
"67","Cordillera Administrative Region (CAR)","Abra","Chief Education Supervisor",2,0,2,100
"68","Cordillera Administrative Region (CAR)","Abra","Dental Aide",1,0,1,100
"69","Cordillera Administrative Region (CAR)","Abra","Dentist II",2,0,2,100
"70","Cordillera Administrative Region (CAR)","Abra","Education Program Specialist II",5,0,5,100
"71","Cordillera Administrative Region (CAR)","Abra","Education Program Supervisor",11,0,11,100
"72","Cordillera Administrative Region (CAR)","Abra","Electronics and Communications Equipment Technician I",1,0,1,100
"73","Cordillera Administrative Region (CAR)","Abra","Engineer III",1,0,1,100
"74","Cordillera Administrative Region (CAR)","Abra","Farm Worker I",1,7,8,12.5
"75","Cordillera Administrative Region (CAR)","Abra","Guidance Counselor II",1,8,9,11.11
"76","Cordillera Administrative Region (CAR)","Abra","Guidance Counselor III",1,2,3,33.33
"77","Cordillera Administrative Region (CAR)","Abra","Head Teacher I",25,2,27,92.59
"78","Cordillera Administrative Region (CAR)","Abra","Head Teacher II",21,1,22,95.45
"79","Cordillera Administrative Region (CAR)","Abra","Head Teacher III",45,5,50,90
"80","Cordillera Administrative Region (CAR)","Abra","Head Teacher VI",5,0,5,100
"81","Cordillera Administrative Region (CAR)","Abra","Information Technology Officer I",1,0,1,100
"82","Cordillera Administrative Region (CAR)","Abra","Librarian II",1,0,1,100
"83","Cordillera Administrative Region (CAR)","Abra","Master Teacher I",152,0,152,100
"84","Cordillera Administrative Region (CAR)","Abra","Master Teacher II",86,1,87,98.85
"85","Cordillera Administrative Region (CAR)","Abra","Master Teacher III",2,0,2,100
"86","Cordillera Administrative Region (CAR)","Abra","Medical Officer III",1,0,1,100
"87","Cordillera Administrative Region (CAR)","Abra","Nurse II",41,1,42,97.62
"88","Cordillera Administrative Region (CAR)","Abra","Planning Officer III",1,0,1,100
"89","Cordillera Administrative Region (CAR)","Abra","Project Development Officer I",9,0,9,100
"90","Cordillera Administrative Region (CAR)","Abra","Project Development Officer II",2,0,2,100
"91","Cordillera Administrative Region (CAR)","Abra","Public Schools District Supervisor",10,0,10,100
"92","Cordillera Administrative Region (CAR)","Abra","Registrar I",1,0,1,100
"93","Cordillera Administrative Region (CAR)","Abra","School Librarian I",2,0,2,100
"94","Cordillera Administrative Region (CAR)","Abra","School Librarian III",2,0,2,100
"95","Cordillera Administrative Region (CAR)","Abra","School Principal I",57,2,59,96.61
"96","Cordillera Administrative Region (CAR)","Abra","School Principal II",24,1,25,96
"97","Cordillera Administrative Region (CAR)","Abra","School Principal III",15,1,16,93.75
"98","Cordillera Administrative Region (CAR)","Abra","School Principal IV",1,0,1,100
"99","Cordillera Administrative Region (CAR)","Abra","Schools Division Superintendent",1,0,1,100
"100","Cordillera Administrative Region (CAR)","Abra","Security Guard I",16,0,16,100
"101","Cordillera Administrative Region (CAR)","Abra","Security Guard II",1,0,1,100
"102","Cordillera Administrative Region (CAR)","Abra","Senior Education Program Specialist",2,2,4,50
"103","Cordillera Administrative Region (CAR)","Abra","Special Education Teacher I",2,0,2,100
"104","Cordillera Administrative Region (CAR)","Abra","Special Education Teacher III",1,0,1,100
"105","Cordillera Administrative Region (CAR)","Abra","Special Science Teacher I",4,0,4,100
"106","Cordillera Administrative Region (CAR)","Abra","Teacher I",569,7,576,98.78
"107","Cordillera Administrative Region (CAR)","Abra","Teacher II",326,2,328,99.39
"108","Cordillera Administrative Region (CAR)","Abra","Teacher III",1679,5,1684,99.7
"109","Cordillera Administrative Region (CAR)","Abra","Watchman I",1,0,1,100
"110","Cordillera Administrative Region (CAR)","Apayao","Accountant III",1,0,1,100
"111","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide I",6,0,6,100
"112","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide III",2,0,2,100
"113","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide IV",1,0,1,100
"114","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide VI",7,1,8,87.5
"115","Cordillera Administrative Region (CAR)","Apayao","Administrative Assistant I",1,0,1,100
"116","Cordillera Administrative Region (CAR)","Apayao","Administrative Assistant II",44,4,48,91.67
"117","Cordillera Administrative Region (CAR)","Apayao","Administrative Assistant III",46,2,48,95.83
